id	filename	md5	size	state
327ec9b2-72e9-4c2b-8c7e-4c69818581eb	TCGA-BH-A0HL-01Z-00-DX1.972DE96D-51F4-4A2D-B074-8D965023DC01.svs	56577d78766dc545f2c60324be816edd	1770429357	released
3f195252-ba38-4843-8779-1e54568d69df	TCGA-UL-AAZ6-01Z-00-DX1.0488628B-C06B-4A1D-9198-EC29D0BACF6E.svs	89307c846d1ba5292ae3ac1182a33db9	1705603557	released
4b1732e4-1d4c-48a6-8d04-3814ffe5fc51	TCGA-A2-A0CL-01Z-00-DX1.5342E971-DCD2-42C4-B4FF-E6942A95829E.svs	5f0799e11ef83f49c04ee5090caf2d42	913307991	released
765214bd-6c5c-4c7b-9e0e-21736495919b	TCGA-BH-A1F8-01Z-00-DX1.8BB026F7-35CB-483F-B665-4C3A3EF47E1B.svs	7e8d41a3a7955a0eba061e12734c9435	2006626697	released
c30133b9-3e6a-44b4-812f-a003e698225c	TCGA-AC-A3HN-01Z-00-DX1.1AA71B9B-1B61-41A9-91CF-B7649DEC189E.svs	5b14f96d6329767a7b2a81d1e6ae2ab9	951343170	released
11667eab-f199-4b78-ab04-c118221a7570	TCGA-A8-A08I-01Z-00-DX1.96A0065E-5430-40F6-835E-1A7238A79DDA.svs	f6eefb85873fbd6e49144fb3277d8e9e	943913194	released
78fadacf-2a91-4067-b377-a38a5411f6b4	TCGA-B6-A0RT-01Z-00-DX1.6C2BA663-D61B-404B-B62C-B81747B6A3AC.svs	2ec5867b4a516d2f8472d5d031a20acf	1240266001	released
aa8c4f21-2fce-4ccb-b270-4a1ad633f36e	TCGA-A1-A0SP-01Z-00-DX1.20D689C6-EFA5-4694-BE76-24475A89ACC0.svs	077167e178514b5b6517e2e78bab565e	1566627208	released
fcc84daa-5e54-4773-88a8-aa76727ffb6c	TCGA-AC-A2BM-01Z-00-DX1.162A9FA9-6E61-48BF-B0A5-C6C7640ABD9B.svs	f3ba5d0383269d5c9f3ce3ff75491545	445033002	released
1d203edb-f167-4684-ab43-e4edfb3e95ff	TCGA-AR-A24K-01Z-00-DX1.3A56BAEC-484E-4F9B-BCB4-360ABF6DDB4B.svs	026e5ee67fcee83a9bb4bbf54eb15da4	1754525793	released
9db69c3a-9a2a-49ed-865f-8b95195548c2	TCGA-A2-A1FW-01Z-00-DX1.DC2BC5D7-E57B-444E-833F-9A1B6E11DE6D.svs	3c7aedad196d00424174f9acef4a15a3	962652477	released
